run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,elapsed_seconds
20260521T1104Z,w1726,2026 04 04 - galvestontx.gov_cip_2026-2030,galvestontx.gov_cip_2026-2030,failed,timeout,Pipeline timed out after 900s,140,,,,,,,900.2
20260521T1119Z,w1726,2026 04 05 - co.lancaster.pa.us_cip_2026-2026,co.lancaster.pa.us_cip_2026-2026,ok,,,12,12,yes,0.75,4209624.0,10109624.0,1.4016,98.3
20260521T1121Z,w1726,2026 04 08 - saw.usace.army.mil_cip_2026-2029,saw.usace.army.mil_cip_2026-2029,ok,,,21,21,yes,1.0,340500000.0,451000000.0,0.3245,82.4
20260521T1122Z,w1726,2026 04 09 - jurupavalley.org_cip_2026-2030,jurupavalley.org_cip_2026-2030,ok,,,62,136,no,0.968,382841676.0,220226234.0,0.4248,100.6
20260521T1124Z,w1726,2026 04 09 - lbwl.com_cip_2026-2031,lbwl.com_cip_2026-2031,ok,,,29,5,no,0.034,719150430.0,761937942.0,0.0595,74.5
20260521T1125Z,w1726,2026 04 09 - marysvillewa.gov_tip_2026-2031,marysvillewa.gov_tip_2026-2031,ok,,,60,71,no,0.633,372914000.0,19641000.0,0.9473,124.6
20260521T1128Z,w1726,2026 04 13 - rctc.org_tip_2026-2031,rctc.org_tip_2026-2031,ok,,,8,7,no,0.0,0.0,42038000.0,,150.8
20260521T1130Z,w1726,2026 04 13 - rdu.com_cip_2027-2027,rdu.com_cip_2027-2027,ok,,,37,4,no,0.081,2439625000.0,3668097641.0,0.5035,104.2
20260521T1132Z,w1726,2026 04 14 - akronohio.gov_cip_2026-2026,akronohio.gov_cip_2026-2026,ok,,,171,109,no,0.444,341909940.0,24420000.0,0.9286,137.4
20260521T1134Z,w1726,2026 04 14 - hamiltonnj.com_cip_2026-2031,hamiltonnj.com_cip_2026-2031,ok,,,11,11,yes,0.727,7031023.0,1290217.0,0.8165,95.9
20260521T1136Z,w1726,2026 04 14 - ky.gov_cip_2026-2026,ky.gov_cip_2026-2026,ok,,,35,3,no,0.114,81322933.0,12409000.0,0.8474,59.7
20260521T1137Z,w1726,2026 04 15 - greenwood.in.gov_cip_2025-2029,greenwood.in.gov_cip_2025-2029,ok,,,25,1,no,0.0,0.0,75372240.0,,71.6
20260521T1138Z,w1726,2026 04 16 - lrd.usace.army.mil.pgh_cip_2026-2026,lrd.usace.army.mil.pgh_cip_2026-2026,ok,,,18,18,yes,1.0,0.0,56300000.0,,101.6
20260521T1140Z,w1726,2026 04 16 - mvs.usace.army.mil_cip_2026-2027,mvs.usace.army.mil_cip_2026-2027,ok,,,16,16,yes,0.0,595250000.0,86250000.0,0.8551,73.4
20260521T1141Z,w1726,2026 04 16 - nap.usace.army.mil_cip_2026-2026,nap.usace.army.mil_cip_2026-2026,ok,,,35,35,yes,0.0,717250000.0,717000000.0,0.0003,73.8
20260521T1142Z,w1726,2026 04 16 - utah.gov_dnr_cip_2027-2031,utah.gov_dnr_cip_2027-2031,ok,,,36,9,no,0.25,1092788957.0,92100000.0,0.9157,551.2
20260521T1152Z,w1726,2026 04 19 - henrico.us_cip_2027-2031,henrico.us_cip_2027-2031,ok,,,114,114,yes,1.0,687477914.0,3759159184.0,4.468,228.0
20260521T1155Z,w1726,2026 04 19 - jamescitycountyva.gov_cip_2026-2030,jamescitycountyva.gov_cip_2026-2030,ok,,,143,135,no,0.0,454853800.0,1013474042.0,1.2281,219.2
20260521T1159Z,w1726,2026 04 19 - roundrocktexas.gov_cip_2026-2030,roundrocktexas.gov_cip_2026-2030,ok,,,178,127,no,0.0,451802600.0,3109809813.66,5.8831,180.0
20260521T1202Z,w1726,2026 04 20 - cityofglendora.org_cip_2026-2030,cityofglendora.org_cip_2026-2030,ok,,,68,44,no,0.971,108328533.0,103489669.0,0.0447,317.9
20260521T1207Z,w1726,2026 04 20 - co.morris.nj.us_cip_2026-2031,co.morris.nj.us_cip_2026-2031,ok,,,36,40,no,0.861,262909092.0,38067831.0,0.8552,112.2
20260521T1209Z,w1726,2026 04 20 - emwd.org_cip_2026-2030,emwd.org_cip_2026-2030,ok,,,20,143,no,0.75,167326600.0,9.82714184112193e+41,5.873030254079106e+33,131.5
20260521T1212Z,w1726,2026 04 21 - apgov.us_cip_2026-2030,apgov.us_cip_2026-2030,ok,,,111,74,no,0.586,0.0,449885981.0,,220.7
20260521T1215Z,w1726,2026 04 21 - blm.gov_cip_2026-2026,blm.gov_cip_2026-2026,ok,,,45,111,no,0.933,0.0,1089232000.0,,134.9
20260521T1218Z,w1726,2026 04 21 - caddo.org_cip_2026-2026,caddo.org_cip_2026-2026,ok,,,130,3,no,0.0,0.0,28500.0,,131.3
20260521T1220Z,w1726,2026 04 21 - charleston-sc.gov_cip_2026-2030,charleston-sc.gov_cip_2026-2030,ok,,,63,63,yes,1.0,860548859.0,1630034225.0,0.8942,108.4
20260521T1222Z,w1726,2026 04 21 - cityhs.net_cip_2027-2031,cityhs.net_cip_2027-2031,ok,,,199,47,no,0.0,0.0,1336.0,,168.0
20260521T1225Z,w1726,2026 04 21 - flower-mound.com_cip_2026-2035,flower-mound.com_cip_2026-2035,ok,,,292,190,no,0.291,1340264202.0,2107760727.0,0.5726,675.8
20260521T1236Z,w1726,2026 04 21 - fortbendcountytx.gov_cip_2026-2026,fortbendcountytx.gov_cip_2026-2026,failed,ingest,"n enumerate(iter_pages()):
                   ~~~~~~~~~^^^^^^^^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\pdfplumber\pdf.py"", line 161, in iter_pages
    raise PdfminerException(e)
pdfplumber.utils.exceptions.PdfminerException: [Errno 22] Invalid argument
",132,,,,,,,724.5
20260521T1248Z,w1726,2026 04 21 - townofjohnstown.com_cip_2026-2035,townofjohnstown.com_cip_2026-2035,ok,,,99,0,no,0.0,419261842.0,0,1.0,123.2
20260521T1250Z,w1726,2026 04 22 - bia.gov_cip_2026-2030,bia.gov_cip_2026-2030,ok,,,72,27,no,0.528,0.0,53893000.0,,186.5
20260521T1253Z,w1726,2026 04 22 - ci.brooklyn-center.mn.us_cip_2026-2035,ci.brooklyn-center.mn.us_cip_2026-2035,failed,test_run,"ne 159, in process
    print(f""         ID={r.get('Project_Number_Primary','?')}  Total=${r.get('Total_Project_Budget',0):,.0f}"")
                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: Unknown format code 'f' for object of type 'str'
",118,,,,,,,96.0
